v(v_in),v(out),v(c1),v(c2),v(tail)
0.000000000000000000e+00,5.012999832015488827e-08,4.999999905973180780e+00,3.137282651936176059e+00,1.868893138572410351e+00
2.000000000000000042e-03,5.012999832021073950e-08,4.999999905982579484e+00,3.137282226440321509e+00,1.868893565651135624e+00
4.000000000000000083e-03,5.012999832026659074e-08,4.999999905991979965e+00,3.137282226468401269e+00,1.868893565651378097e+00
6.000000000000000125e-03,5.012999832032244197e-08,4.999999906001379557e+00,3.137282226461040491e+00,1.868893565654632827e+00
8.000000000000000167e-03,5.012999832037829982e-08,4.999999906010780037e+00,3.137282226448932843e+00,1.868893565654656808e+00
1.000000000000000021e-02,5.012999832043413121e-08,4.999999906020180518e+00,3.137282226467235979e+00,1.868893565654816680e+00
1.200000000000000025e-02,5.012999832048998244e-08,4.999999906029578334e+00,3.137282226498328885e+00,1.868893565655267208e+00
1.400000000000000029e-02,5.012999832054583368e-08,4.999999906038980590e+00,3.137282226499124693e+00,1.868893565655301403e+00
1.600000000000000033e-02,5.012999832060167168e-08,4.999999906048379295e+00,3.137282226511345584e+00,1.868893565655462830e+00
1.800000000000000211e-02,5.012999832065752291e-08,4.999999906057779775e+00,3.137282226522685846e+00,1.868893565655632916e+00
2.000000000000000389e-02,5.012999832071336753e-08,4.999999906067180255e+00,3.137282226546787012e+00,1.868893565655979749e+00
2.200000000000000566e-02,5.012999832076921876e-08,4.999999906076580736e+00,3.137282226525925921e+00,1.868893565655700861e+00
2.400000000000000744e-02,5.012999832082507662e-08,4.999999906085978552e+00,3.137282226540250019e+00,1.868893565655875832e+00
2.600000000000000921e-02,5.012999832088092123e-08,4.999999906095379920e+00,3.137282226554829911e+00,1.868893565656102984e+00
2.800000000000001099e-02,5.012999832093677247e-08,4.999999906104779512e+00,3.137282226544001684e+00,1.868893565655957545e+00
3.000000000000001277e-02,5.012999832099260385e-08,4.999999906114179993e+00,3.137282226581574296e+00,1.868893565656474021e+00
3.200000000000001454e-02,5.012999832104847494e-08,4.999999906123579585e+00,3.137282226585780709e+00,1.868893565656570388e+00
3.400000000000001632e-02,5.012999832110432617e-08,4.999999906132980065e+00,3.137282226605107027e+00,1.868893565656834399e+00
3.600000000000001810e-02,5.012999832116019064e-08,4.999999906142380546e+00,3.137282226623040682e+00,1.868893565657102407e+00
3.800000000000001987e-02,5.012999832121601541e-08,4.999999906151780138e+00,3.137282226613832048e+00,1.868893565656979838e+00
4.000000000000002165e-02,5.012999832127186664e-08,4.999999906161179730e+00,3.137282226595244694e+00,1.868893565656700506e+00
4.200000000000002343e-02,5.012999832132771788e-08,4.999999906170580211e+00,3.137282226617100545e+00,1.868893565656997824e+00
4.400000000000002520e-02,5.012999832138357573e-08,4.999999906179979803e+00,3.137282226629975579e+00,1.868893565657208100e+00
4.600000000000002698e-02,5.012999832143942697e-08,4.999999906189381171e+00,3.137282226635432103e+00,1.868893565657287814e+00
4.800000000000002875e-02,5.012999832149527820e-08,4.999999906198779875e+00,3.137282226672863050e+00,1.868893565657818501e+00
5.000000000000003053e-02,5.012999832155111620e-08,4.999999906208179468e+00,3.137282226674056762e+00,1.868893565657865130e+00
5.200000000000003231e-02,5.012999832160697405e-08,4.999999906217580836e+00,3.137282226653678840e+00,1.868893565657563594e+00
5.400000000000003408e-02,5.012999832166281867e-08,4.999999906226978652e+00,3.137282226691990417e+00,1.868893565658085842e+00
5.600000000000003586e-02,5.012999832171866329e-08,4.999999906236380021e+00,3.137282226701511245e+00,1.868893565658263256e+00
5.800000000000003764e-02,5.012999832177452114e-08,4.999999906245780501e+00,3.137282226711600952e+00,1.868893565658401146e+00
6.000000000000003941e-02,5.012999832183036576e-08,4.999999906255180093e+00,3.137282226694264153e+00,1.868893565658158895e+00
6.200000000000004119e-02,5.012999832188622361e-08,4.999999906264580574e+00,3.137282226703472343e+00,1.868893565658270361e+00
6.400000000000004297e-02,5.012999832194207485e-08,4.999999906273981054e+00,3.137282226706996635e+00,1.868893565658334976e+00
6.600000000000004474e-02,5.012999832199789299e-08,4.999999906283378870e+00,3.137282226732689416e+00,1.868893565658699796e+00
6.800000000000004652e-02,5.012999832205377070e-08,4.999999906292779350e+00,3.137282226721235467e+00,1.868893565658557687e+00
7.000000000000004829e-02,5.012999832210960870e-08,4.999999906302179831e+00,3.137282226748718816e+00,1.868893565658927614e+00
7.200000000000005007e-02,5.012999832216545993e-08,4.999999906311579423e+00,3.137282226756620052e+00,1.868893565659067946e+00
7.400000000000005185e-02,5.012999832222131117e-08,4.999999906320980791e+00,3.137282226758126402e+00,1.868893565659086375e+00
7.600000000000005362e-02,5.012999832227714917e-08,4.999999906330380384e+00,3.137282226779015915e+00,1.868893565659378364e+00
7.800000000000005540e-02,5.012999832233299379e-08,4.999999906339779088e+00,3.137282226767135640e+00,1.868893565659228040e+00
8.000000000000005718e-02,5.012999832238886487e-08,4.999999906349179568e+00,3.137282226771853644e+00,1.868893565659277556e+00
8.200000000000005895e-02,5.012999832244471611e-08,4.999999906358580049e+00,3.137282226804139817e+00,1.868893565659742961e+00
8.400000000000006073e-02,5.012999832250056073e-08,4.999999906367979641e+00,3.137282226796125340e+00,1.868893565659655920e+00
8.600000000000006251e-02,5.012999832255639873e-08,4.999999906377380121e+00,3.137282226814456898e+00,1.868893565659896838e+00
8.800000000000006428e-02,5.012999832261224996e-08,4.999999906386778825e+00,3.137282226822300846e+00,1.868893565660025624e+00
9.000000000000006606e-02,5.012999832266812105e-08,4.999999906396179306e+00,3.137282226836540122e+00,1.868893565660228795e+00
9.200000000000006783e-02,5.012999832272394581e-08,4.999999906405578898e+00,3.137282226857998069e+00,1.868893565660541656e+00
9.400000000000006961e-02,5.012999832277979705e-08,4.999999906414980266e+00,3.137282226853052691e+00,1.868893565660484590e+00
9.600000000000007139e-02,5.012999832283564828e-08,4.999999906424379859e+00,3.137282226859817058e+00,1.868893565660568301e+00
9.800000000000007316e-02,5.012999832289151275e-08,4.999999906433779451e+00,3.137282226875420132e+00,1.868893565660796119e+00
1.000000000000000749e-01,5.012999832294735075e-08,4.999999906443180819e+00,3.137282226883747693e+00,1.868893565660925793e+00
1.020000000000000767e-01,5.012999832300320861e-08,4.999999906452579523e+00,3.137282226883406633e+00,1.868893565660922240e+00
1.040000000000000785e-01,5.012999832305905984e-08,4.999999906461979116e+00,3.137282226877580182e+00,1.868893565660834533e+00
1.060000000000000803e-01,5.012999832311489784e-08,4.999999906471380484e+00,3.137282226894206438e+00,1.868893565661065237e+00
1.080000000000000820e-01,5.012999832317074246e-08,4.999999906480779188e+00,3.137282226895513837e+00,1.868893565661101208e+00
1.100000000000000838e-01,5.012999832322659369e-08,4.999999906490178780e+00,3.137282226896934922e+00,1.868893565661116973e+00
1.120000000000000856e-01,5.012999832328246478e-08,4.999999906499581037e+00,3.137282226930784290e+00,1.868893565661596368e+00
1.140000000000000874e-01,5.012999832333830278e-08,4.999999906508979741e+00,3.137282226957557096e+00,1.868893565662005818e+00
1.160000000000000892e-01,5.012999832339414078e-08,4.999999906518381110e+00,3.137282226929874795e+00,1.868893565661623013e+00
1.180000000000000909e-01,5.012999832344997878e-08,4.999999906527779814e+00,3.137282226960029785e+00,1.868893565662014478e+00
1.200000000000000927e-01,5.012999832350583663e-08,4.999999906537179406e+00,3.137282226936667584e+00,1.868893565661720046e+00
1.220000000000000945e-01,5.012999832356169449e-08,4.999999906546579886e+00,3.137282226980635080e+00,1.868893565662313794e+00
1.240000000000000963e-01,5.012999832361754572e-08,4.999999906555980367e+00,3.137282226985239397e+00,1.868893565662424372e+00
