time,v(v_in),v(out)
0.000000000000000000e+00,2.300000000000000266e+00,5.012508774712016196e-08
5.000000000000000105e-09,2.300000000000000266e+00,5.312870911849286376e-08
1.000000000000000021e-08,2.300000000000000266e+00,5.053153781402890413e-08
1.500000000000000197e-08,2.300000000000000266e+00,4.895411718962846583e-08
2.000000000000000042e-08,2.300000000000000266e+00,4.848475490632767031e-08
2.499999999999999887e-08,2.300000000000000266e+00,4.852080918120781330e-08
2.999999999999999732e-08,2.300000000000000266e+00,4.873735502481337914e-08
3.499999999999999577e-08,2.300000000000000266e+00,4.899148007850812146e-08
3.999999999999999422e-08,2.300000000000000266e+00,4.922748601054378416e-08
4.499999999999999267e-08,2.300000000000000266e+00,4.942519150510572339e-08
4.999999999999999112e-08,2.300000000000000266e+00,4.958392195879956715e-08
5.499999999999998957e-08,2.300000000000000266e+00,4.970701755109841427e-08
5.999999999999999464e-08,2.300000000000000266e+00,4.980151768387712984e-08
6.499999999999999971e-08,2.300000000000000266e+00,4.987281000498916133e-08
7.000000000000000477e-08,2.300000000000000266e+00,4.992678450481481994e-08
7.500000000000000984e-08,2.300000000000000266e+00,4.996720053202356891e-08
8.000000000000001491e-08,2.300000000000000266e+00,4.999770403602496675e-08
8.500000000000001998e-08,2.300000000000000266e+00,5.002051425677669359e-08
9.000000000000002504e-08,2.300000000000000266e+00,5.003786540436579433e-08
9.500000000000003011e-08,2.300000000000000266e+00,5.005098998202015018e-08
1.000000000000000352e-07,2.300000000000000266e+00,5.006121108981347609e-08
1.050000000000000402e-07,2.300000000000000266e+00,5.006911310116085653e-08
1.100000000000000453e-07,2.300000000000000266e+00,5.007534018904297633e-08
1.150000000000000504e-07,2.300000000000000266e+00,5.008015031647916731e-08
1.200000000000000422e-07,2.300000000000000266e+00,5.008384448098923760e-08
1.250000000000000473e-07,2.300000000000000266e+00,5.008662109046204548e-08
1.300000000000000524e-07,2.300000000000000266e+00,5.008877200515308326e-08
1.350000000000000574e-07,2.300000000000000266e+00,5.009047556388029822e-08
1.400000000000000625e-07,2.300000000000000266e+00,5.009200359852707982e-08
1.450000000000000676e-07,2.300000000000000266e+00,5.009335606827422874e-08
1.500000000000000726e-07,2.300000000000000266e+00,5.009457278523582767e-08
1.550000000000000777e-07,2.300000000000000266e+00,5.009571501757111536e-08
1.600000000000000828e-07,2.300000000000000266e+00,5.009680458864101267e-08
1.650000000000000878e-07,2.300000000000000266e+00,5.009779968754968805e-08
1.700000000000000929e-07,2.300000000000000266e+00,5.009876778274927364e-08
1.750000000000000980e-07,2.300000000000000266e+00,5.009969867646491844e-08
1.800000000000001030e-07,2.300000000000000266e+00,5.010057038229269200e-08
