time,v(v_in),v(out),v(c1),v(c2)
0.000000000000000000e+00,2.500000000000000000e+00,4.944836292452577275e+00,4.154832392886934400e+00,4.060094842344553534e+00
1.000000000000000021e-08,2.500125663706060930e+00,4.944843792754473277e+00,4.154118232948837530e+00,4.060955632148358418e+00
2.000000000000000042e-08,2.500251327411625812e+00,4.944842138944094856e+00,4.153001016237634957e+00,4.062385640984547130e+00
4.000000000000000084e-08,2.500502654819282800e+00,4.944838420286100877e+00,4.150333399410993884e+00,4.065901361574195683e+00
8.000000000000000167e-08,2.501005309606814997e+00,4.944847741885467052e+00,4.144096822474794273e+00,4.074580607797384069e+00
1.600000000000000033e-07,2.502010618959626065e+00,4.944953247360298398e+00,4.131576960941847787e+00,4.092478540150678690e+00
3.200000000000000067e-07,2.504021235887225583e+00,4.945469265482757670e+00,4.106558139779505900e+00,4.128069831894817021e+00
6.400000000000000134e-07,2.508042455518249003e+00,4.947387590667053914e+00,4.056837026020377657e+00,4.198694353621671205e+00
1.280000000000000027e-06,2.516084780987273284e+00,4.952590403148403375e+00,3.960580064010907009e+00,4.334644147934022307e+00
2.280000000000000193e-06,2.528650345017980250e+00,4.959824224813410787e+00,3.825808069262405908e+00,4.523004012939290774e+00
3.279999999999999936e-06,2.541214777982123252e+00,4.964911322921035541e+00,3.716716220553172967e+00,4.672653516057393652e+00
4.279999999999999679e-06,2.553777583857402167e+00,4.968198977625680968e+00,3.634083556718975760e+00,4.782730168234876622e+00
5.279999999999999422e-06,2.566338266685752600e+00,4.970242167183312354e+00,3.574054769687579292e+00,4.859191221780066350e+00
6.279999999999999165e-06,2.578896330592923558e+00,4.971534385782021559e+00,3.531169004480673390e+00,4.910214149910808068e+00
7.279999999999998908e-06,2.591451279808054675e+00,4.972382266269139706e+00,3.500353611109146001e+00,4.943349653487257633e+00
8.279999999999998651e-06,2.604002618683249004e+00,4.972963674536166501e+00,3.477629455279648507e+00,4.964499591926991862e+00
9.279999999999999241e-06,2.616549851713138253e+00,4.973377826378583499e+00,3.460179908004205718e+00,4.977844127997565593e+00
1.027999999999999983e-05,2.629092483554447579e+00,4.973685964263320436e+00,3.446095665698718502e+00,4.986210492342406653e+00
1.128000000000000042e-05,2.641630019045547950e+00,4.973925859329956012e+00,3.434143450967310773e+00,4.991428199199166471e+00
1.228000000000000101e-05,2.654161963226005394e+00,4.974122754849640948e+00,3.423523970989229337e+00,4.994678608596186287e+00
1.328000000000000160e-05,2.666687821356122701e+00,4.974291688987821480e+00,3.413742882497367681e+00,4.996695657439443217e+00
1.428000000000000219e-05,2.679207098936467801e+00,4.974443141041192895e+00,3.404480608850959822e+00,4.997950717066899529e+00
1.528000000000000278e-05,2.691719301727398594e+00,4.974582662170398351e+00,3.395547051983986986e+00,4.998726988848883224e+00
1.628000000000000337e-05,2.704223935768573561e+00,4.974714698657622058e+00,3.386815354874259665e+00,4.999211130334187736e+00
1.728000000000000396e-05,2.716720507398451723e+00,4.974841024232700804e+00,3.378214965051844487e+00,4.999509136031545786e+00
